,CountryData1,CountryData2,Result,Similarity,Similarities
77,French Polynesia,Indonesia,False,56,"{'Armenia': 43, 'France': 45, 'Indonesia': 56, 'North Korea': 44, 'Liechtenstein': 41, 'Malaysia': 42, 'Federated States of Micronesia': 43, 'Mongolia': 42, 'North Macedonia': 45, 'Northern Cyprusa': 44, 'Seychelles': 46, 'Transnistriaa': 41}"
78,Gabon,Gabon,True,100,{None}
79,Gambia The,Gambia,False,75,"{'Cambodia': 56, 'Colombia': 44, 'Gambia': 75, 'Guatemala': 42, 'Jamaica': 47, 'Mozambique': 50, 'Namibia': 59, 'Zambia': 62, 'Zimbabwe': 44}"
80,Gaza Strip,Tanzania,False,44,{'Tanzania': 44}
81,Georgia,Georgia,True,100,{None}
82,Germany,Germany,True,100,{None}
83,Ghana,Ghana,True,100,{None}
84,Gibraltar,Malta,False,57,"{'Australia': 44, 'Croatia': 50, 'Ghana': 43, 'Grenada': 50, 'Guatemala': 44, 'Kiribati': 47, 'Liberia': 50, 'Libya': 43, 'Malta': 57, 'Nicaragua': 44, 'Palau': 43, 'Qatar': 57}"
85,Greece,Greece,True,100,{None}
86,Greenland,Grenada,False,75,"{'Argentina': 44, 'Armenia': 50, 'Bangladesh': 42, 'Benin': 43, 'Cocos (Keeling) Islands': 44, 'Finland': 62, 'Gabon': 43, 'Germany': 50, 'Ghana': 43, 'Greece': 53, 'Grenada': 75, 'Guatemala': 44, 'Iceland': 62, 'Iran': 46, 'Ireland': 75, 'Kenya': 43, 'Netherlands': 60, 'New Zealand': 60, 'Norfolk Island': 43, 'Poland': 53, 'Solomon Islands': 42, 'Switzerland': 50, 'Thailand': 47, 'Turkmenistan': 48, 'Venezuela': 44, 'Yemen': 43}"
87,Grenada,Grenada,True,100,{None}
88,Guam,Guatemala,False,62,"{'Cuba': 50, 'Gabon': 44, 'Gambia': 60, 'Ghana': 44, 'Guatemala': 62, 'Guinea': 60, 'Guyana': 60, 'Samoa': 44, 'Sudan': 44, 'Suriname': 50}"
89,Guatemala,Guatemala,True,100,{None}
90,Guernsey,Germany,False,67,"{'Brunei': 43, 'France': 43, 'Germany': 67, 'Greece': 43, 'Guinea': 57, 'Guyana': 43, 'Kenya': 46, 'Netherlands': 42, 'Suriname': 50, 'Turkey': 57}"
91,Guinea,Guinea,True,100,{None}
92,Guinea-Bissau,Guinea-Bissau,True,100,{None}
93,Guyana,Guyana,True,100,{None}
94,Haiti,Haiti,True,100,{None}
95,Holy See (Vatican City),Vatican City,False,69,{'Vatican City': 69}
96,Honduras,Honduras,True,100,{None}
97,Hong Kong,Mongolia,False,47,"{'Mongolia': 47, 'Montenegro': 42, 'Togo': 46, 'Tonga': 43}"
98,Hungary,Hungary,True,100,{None}
99,Iceland,Iceland,True,100,{None}
100,India,India,True,100,{None}
101,Indonesia,Indonesia,True,100,{None}
102,Iran,Iran,True,100,{None}
103,Iraq,Iraq,True,100,{None}
104,Ireland,Ireland,True,100,{None}
105,Isle of Man,Iceland,False,44,"{'Cook Islands': 43, 'Iceland': 44, 'Ireland': 44}"
106,Israel,Israel,True,100,{None}
107,Italy,Italy,True,100,{None}
108,Jamaica,Jamaica,True,100,{None}
109,Japan,Japan,True,100,{None}
110,Jersey,Turkey,False,50,"{'Belarus': 46, 'Germany': 46, 'Turkey': 50}"
111,Jordan,Jordan,True,100,{None}
112,Kazakhstan,Kazakhstan,True,100,{None}
113,Kenya,Kenya,True,100,{None}
114,Kiribati,Kiribati,True,100,{None}
115,Korea North,Ivory Coast,False,45,"{'Ivory Coast': 45, 'Kiribati': 42, 'North Korea': 45, 'South Korea': 45, 'Lesotho': 44}"
116,Korea South,Ivory Coast,False,45,"{'Ivory Coast': 45, 'Kiribati': 42, 'North Korea': 45, 'South Korea': 45, 'Lesotho': 44, 'South Africa': 43, 'South Sudan': 45, 'Tokelau': 44}"
117,Kosovo,Kosovoa,False,92,"{'Comoros': 46, 'Kosovoa': 92, 'Lesotho': 46, 'Moldova': 46, 'Morocco': 46}"
118,Kuwait,Kuwait,True,100,{None}
119,Kyrgyzstan,Kyrgyzstan,True,100,{None}
120,Laos,Laos,True,100,{None}
121,Latvia,Latvia,True,100,{None}
122,Lebanon,Lebanon,True,100,{None}
123,Lesotho,Lesotho,True,100,{None}
124,Liberia,Liberia,True,100,{None}
125,Libya,Libya,True,100,{None}
126,Liechtenstein,Liechtenstein,True,100,{None}
127,Lithuania,Lithuania,True,100,{None}
128,Luxembourg,Luxembourg,True,100,{None}
129,Macau,Malta,False,60,"{'Jamaica': 50, 'Madagascar': 53, 'Malawi': 55, 'Malaysia': 46, 'Mali': 44, 'Malta': 60, 'Mauritius': 43, 'Monaco': 55, 'Nicaragua': 43, 'Palau': 60, 'Paraguay': 46, 'Vanuatu': 50}"
130,Madagascar,Madagascar,True,100,{None}
131,Malawi,Malawi,True,100,{None}
132,Malaysia,Malaysia,True,100,{None}
133,Maldives,Maldives,True,100,{None}
134,Mali,Mali,True,100,{None}
135,Malta,Malta,True,100,{None}
136,Marshall Islands,Marshall Islands,True,100,{None}
137,Mauritania,Mauritania,True,100,{None}
138,Mauritius,Mauritius,True,100,{None}
139,Mexico,Mexico,True,100,{None}
140,Micronesia Federated States of,Federated States of Micronesia,False,63,"{'Federated States of Micronesia': 63, 'Trinidad and Tobago': 41, 'United Arab Emirates': 44, 'United States': 56}"
141,Moldova,Moldova,True,100,{None}
142,Monaco,Monaco,True,100,{None}
143,Mongolia,Mongolia,True,100,{None}
144,Montenegro,Montenegro,True,100,{None}
145,Montserrat,Montenegro,False,60,"{'Andorra': 47, 'Botswana': 44, 'Honduras': 44, 'Indonesia': 42, 'Monaco': 50, 'Mongolia': 44, 'Montenegro': 60, 'Northern Cyprusa': 46, 'South Ossetiaa': 42, 'United Arab Emirates': 47, 'United States': 43}"
146,Morocco,Morocco,True,100,{None}
147,Mozambique,Mozambique,True,100,{None}
148,Namibia,Namibia,True,100,{None}
149,Nauru,Nauru,True,100,{None}
150,Nepal,Nepal,True,100,{None}
151,Netherlands,Netherlands,True,100,{None}
152,New Caledonia,North Macedonia,False,64,"{'Cambodia': 48, 'Cameroon': 48, 'Canada': 42, 'Colombia': 48, 'El Salvador': 42, 'Indonesia': 45, 'Nepal': 44, 'New Zealand': 58, 'North Macedonia': 64, 'Papua New Guinea': 41, 'Rwanda': 42, 'Slovenia': 48, 'Sweden': 42}"
153,New Zealand,New Zealand,True,100,{None}
154,Nicaragua,Nicaragua,True,100,{None}
155,Niger,Niger,True,100,{None}
156,Nigeria,Nigeria,True,100,{None}
157,Niue,Niue,True,100,{None}
158,Norfolk Island,Norfolk Island,True,100,{None}
159,North Macedonia,North Macedonia,True,100,{None}
160,Northern Mariana Islands,Marshall Islands,False,60,"{'Christmas Island': 55, 'Cocos (Keeling) Islands': 51, 'Cook Islands': 50, 'North Korea': 46, 'Marshall Islands': 60, 'Mauritania': 41, 'Netherlands': 57, 'New Zealand': 46, 'Norfolk Island': 53, 'North Macedonia': 51, 'Northern Cyprusa': 60, 'San Marino': 41, 'Solomon Islands': 51, 'Thailand': 44}"
161,Norway,Norway,True,100,{None}
162,Oman,Oman,True,100,{None}
163,Pakistan,Pakistan,True,100,{None}
164,Palau,Palau,True,100,{None}
165,Panama,Panama,True,100,{None}
166,Papua New Guinea,Papua New Guinea,True,100,{None}
167,Paraguay,Paraguay,True,100,{None}
168,Peru,Peru,True,100,{None}
169,Philippines,Philippines,True,100,{None}
170,Pitcairn Islands,Christmas Island,False,62,"{'Bangladesh': 46, 'Barbados': 42, 'Christmas Island': 62, 'Cocos (Keeling) Islands': 56, 'Cook Islands': 57, 'Finland': 52, 'Iceland': 43, 'Ireland': 43, 'Marshall Islands': 62, 'Netherlands': 52, 'Norfolk Island': 53, 'Pakistan': 50, 'Poland': 45, 'Saint Kitts and Nevis': 49, 'Solomon Islands': 58, 'Somalilanda': 44, 'Switzerland': 52, 'Thailand': 50}"
171,Poland,Poland,True,100,{None}
172,Portugal,Portugal,True,100,{None}
173,Puerto Rico,Costa Rica,False,48,"{'Cameroon': 42, 'Costa Rica': 48, 'Mexico': 47, 'Morocco': 44, 'South Africa': 43}"
174,Qatar,Qatar,True,100,{None}
175,Romania,Romania,True,100,{None}
176,Russia,Russia,True,100,{None}
177,Rwanda,Rwanda,True,100,{None}
178,Saint Barthelemy,Saint Lucia,False,52,"{'Saint Kitts and Nevis': 43, 'Saint Lucia': 52, 'Saint Vincent and the Grenadines': 46, 'San Marino': 46, 'Singapore': 48, 'Suriname': 42, 'United States': 41, 'Vatican City': 43}"
179,Saint Helena Ascension and Tristan da Cunha,Saint Vincent and the Grenadines,False,51,"{'Saint Kitts and Nevis': 44, 'Saint Vincent and the Grenadines': 51}"
180,Saint Kitts and Nevis,Saint Kitts and Nevis,True,100,{None}
181,Saint Lucia,Saint Lucia,True,100,{None}
182,Saint Martin,San Marino,False,82,"{'Afghanistan': 43, 'Bahrain': 42, 'Finland': 42, 'Haiti': 47, 'Mauritania': 45, 'Mauritius': 48, 'Pakistan': 50, 'Qatar': 47, 'Saint Kitts and Nevis': 48, 'Saint Lucia': 61, 'Saint Vincent and the Grenadines': 45, 'San Marino': 82, 'Saudi Arabia': 50, 'Singapore': 48, 'Somalia': 42, 'Somalilanda': 43, 'South Africa': 42, 'South Sudan': 43, 'Spain': 47, 'Sri Lanka': 48, 'Switzerland': 43, 'Taiwan': 44, 'Tajikistan': 45, 'Vanuatu': 42, 'Vatican City': 42}"
183,Saint Pierre and Miquelon,Saint Kitts and Nevis,False,57,"{'Antigua and Barbuda': 41, 'Bosnia and Herzegovina': 43, 'Sovereign Military Order of Maltaa': 41, 'Saint Kitts and Nevis': 57, 'Saint Lucia': 44, 'Saint Vincent and the Grenadines': 53, 'Sierra Leone': 54, 'Switzerland': 44, 'Trinidad and Tobago': 41}"
184,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,True,100,{None}
185,Samoa,Samoa,True,100,{None}
186,San Marino,San Marino,True,100,{None}
187,Sao Tome and Principe,São Tomé and Príncipe,False,86,"{'Bosnia and Herzegovina': 42, 'Saint Kitts and Nevis': 43, 'Saint Vincent and the Grenadines': 49, 'San Marino': 45, 'São Tomé and Príncipe': 86, 'Solomon Islands': 44, 'United Kingdom and Crown dependencies etc.': 41}"
188,Saudi Arabia,Saudi Arabia,True,100,{None}
189,Senegal,Senegal,True,100,{None}
190,Serbia,Serbia,True,100,{None}
191,Seychelles,Seychelles,True,100,{None}
192,Sierra Leone,Sierra Leone,True,100,{None}
193,Singapore,Singapore,True,100,{None}
194,Sint Maarten,San Marino,False,64,"{'Eritrea': 42, 'Finland': 42, 'South Korea': 43, 'Mauritania': 45, 'North Macedonia': 44, 'Saint Kitts and Nevis': 42, 'Saint Lucia': 52, 'Saint Vincent and the Grenadines': 41, 'San Marino': 64, 'Saudi Arabia': 42, 'Sierra Leone': 42, 'Singapore': 57, 'South Sudan': 43, 'Sri Lanka': 48, 'Suriname': 50, 'Switzerland': 43, 'United Arab Emirates': 44, 'United States': 48}"
195,Slovakia,Slovakia,True,100,{None}
196,Slovenia,Slovenia,True,100,{None}
197,Solomon Islands,Solomon Islands,True,100,{None}
198,Somalia,Somalia,True,100,{None}
199,South Africa,South Africa,True,100,{None}
200,South Sudan,South Sudan,True,100,{None}
201,Spain,Spain,True,100,{None}
202,Sri Lanka,Sri Lanka,True,100,{None}
203,Sudan,Sudan,True,100,{None}
204,Suriname,Suriname,True,100,{None}
205,Svalbard,El Salvador,False,53,"{'Bangladesh': 44, 'Barbados': 50, 'Canada': 43, 'El Salvador': 53, 'Gambia': 43, 'Malawi': 43, 'Malta': 46, 'New Zealand': 42, 'Palau': 46, 'Poland': 43, 'Qatar': 46, 'Samoa': 46, 'San Marino': 44, 'Serbia': 43, 'Slovakia': 50, 'Somalia': 53, 'Somalilanda': 53, 'Switzerland': 42, 'Thailand': 50, 'Tuvalu': 43, 'Zambia': 43}"
206,Sweden,Sweden,True,100,{None}
207,Switzerland,Switzerland,True,100,{None}
208,Syria,Syria,True,100,{None}
209,Taiwan,Taiwan,True,100,{None}
210,Tajikistan,Tajikistan,True,100,{None}
211,Tanzania,Tanzania,True,100,{None}
212,Thailand,Thailand,True,100,{None}
213,Timor-Leste,East Timor,False,48,"{'Comoros': 44, 'East Timor': 48, 'Lesotho': 44, 'Liechtenstein': 42, 'Sierra Leone': 43, 'Turkmenistan': 43}"
214,Togo,Togo,True,100,{None}
215,Tokelau,Tokelau,True,100,{None}
216,Tonga,Tonga,True,100,{None}
217,Trinidad and Tobago,Trinidad and Tobago,True,100,{None}
218,Tunisia,Tunisia,True,100,{None}
219,Turkey (Turkiye),Turkey,False,55,"{'Turkey': 55, 'Turkmenistan': 43}"
220,Turkmenistan,Turkmenistan,True,100,{None}
221,Turks and Caicos Islands,Cook Islands,False,56,"{'Burkina Faso': 44, 'Christmas Island': 55, 'Cocos (Keeling) Islands': 51, 'Cook Islands': 56, 'Marshall Islands': 55, 'Norfolk Island': 47, 'Saint Kitts and Nevis': 44, 'Solomon Islands': 46, 'Thailand': 44, 'Trinidad and Tobago': 42, 'Turkmenistan': 50}"
222,Tuvalu,Tuvalu,True,100,{None}
223,Uganda,Uganda,True,100,{None}
224,Ukraine,Ukraine,True,100,{None}
225,United Arab Emirates,United Arab Emirates,True,100,{None}
226,United Kingdom,United States,False,52,"{'Montenegro': 50, 'San Marino': 42, 'Trinidad and Tobago': 42, 'United Arab Emirates': 47, 'United Kingdom and Crown dependencies etc.': 50, 'United States': 52}"
227,United States,United States,True,100,{None}
228,Uruguay,Uruguay,True,100,{None}
229,Uzbekistan,Uzbekistan,True,100,{None}
230,Vanuatu,Vanuatu,True,100,{None}
231,Venezuela,Venezuela,True,100,{None}
232,Vietnam,Vietnam,True,100,{None}
233,Virgin Islands,Cook Islands,False,62,"{'Argentina': 43, 'Bangladesh': 42, 'Burkina Faso': 46, 'Christmas Island': 60, 'Cocos (Keeling) Islands': 54, 'Cook Islands': 62, 'Finland': 57, 'Iceland': 48, 'Ireland': 48, 'Kyrgyzstan': 42, 'Marshall Islands': 60, 'Netherlands': 48, 'Norfolk Island': 57, 'Saint Kitts and Nevis': 46, 'Solomon Islands': 62, 'Sri Lanka': 43, 'Switzerland': 48, 'Tajikistan': 42, 'Thailand': 45, 'Trinidad and Tobago': 42}"
234,Wallis and Futuna,Somalilanda,False,50,"{'Antigua and Barbuda': 44, 'Bosnia and Herzegovina': 41, 'Equatorial Guinea': 41, 'Marshall Islands': 42, 'Saint Kitts and Nevis': 42, 'Saint Lucia': 43, 'Saint Vincent and the Grenadines': 41, 'Somalilanda': 50, 'Vanuatu': 42, 'Vatican City': 41}"
235,West Bank,Uzbekistan,False,53,"{'Costa Rica': 42, 'Kazakhstan': 42, 'Kyrgyzstan': 42, 'Pakistan': 47, 'Palestine': 44, 'Sri Lanka': 44, 'Tajikistan': 42, 'Turkmenistan': 48, 'Uzbekistan': 53}"
236,World,Jordan,False,55,"{'Ireland': 50, 'Jordan': 55, 'Moldova': 50, 'Norfolk Island': 42, 'Poland': 55, 'Portugal': 46}"
237,Yemen,Yemen,True,100,{None}
238,Zambia,Zambia,True,100,{None}
239,Zimbabwe,Zimbabwe,True,100,{None}
