CountryData1,CountryData2,Result,Similarity,Similarities
Armenia,Armenia,True,100,{None}
Aruba,Cuba,False,86,"{'Abkhaziaa': 60, 'Albania': 67, 'Algeria': 50, 'Andorra': 57, 'Antigua and Barbuda': 60, 'Argentina': 57, 'Armenia': 57, 'Artsakha': 60, 'Australia': 57, 'Austria': 57, 'Azerbaijan': 60, 'Bahrain': 44, 'Barbados': 60, 'Belarus': 50, 'Bhutan': 44, 'Brazil': 50, 'Brunei': 50, 'Bulgaria': 50, 'Burundi': 44, 'Colombia': 50, 'Croatia': 44, 'Cuba': 86, 'Cyprus': 50, 'Ecuador': 44, 'Equatorial Guinea': 44, 'Eritrea': 50, 'France': 50, 'Gambia': 50, 'Georgia': 44, 'Guatemala': 50, 'Guyana': 44, 'Honduras': 50, 'Iran': 50, 'Iraq': 50, 'Israel': 44, 'Jordan': 44, 'Kiribati': 60, 'North Korea': 50, 'South Korea': 50, 'Kuwait': 44, 'Lebanon': 44, 'Liberia': 50, 'Libya': 57, 'Myanmar (Burma)': 44, 'Namibia': 50, 'Nauru': 57, 'Nicaragua': 60, 'Nigeria': 50, 'Northern Cyprusa': 67, 'Norway': 44, 'Paraguay': 60, 'Peru': 57, 'Portugal': 60, 'Sahrawi Arab Democratic Republica': 60, 'Saint Lucia': 44, 'Saudi Arabia': 60, 'Serbia': 67, 'South Africa': 44, 'South Sudan': 44, 'Sudan': 50, 'Syria': 50, 'Transnistriaa': 50, 'Trinidad and Tobago': 44, 'Tuvalu': 44, 'Ukraine': 44, 'United Arab Emirates': 60, 'Uruguay': 60, 'Vanuatu': 44, 'Venezuela': 44, 'Zambia': 50}"
Australia,Australia,True,100,{None}
Austria,Austria,True,100,{None}
Azerbaijan,Azerbaijan,True,100,{None}
Bahamas The,Bahamas,True,100,{None}
Bahrain,Bahrain,True,100,{None}
Bangladesh,Bangladesh,True,100,{None}
Barbados,Barbados,True,100,{None}
Belarus,Belarus,True,100,{None}
Belgium,Belgium,True,100,{None}
Belize,Belize,True,100,{None}
Benin,Benin,True,100,{None}
Bermuda,Peru,False,75,"{'Algeria': 55, 'Andorra': 44, 'Antigua and Barbuda': 71, 'Armenia': 50, 'Azerbaijan': 46, 'Bahamas': 46, 'Bahrain': 50, 'Bangladesh': 44, 'Barbados': 50, 'Belarus': 67, 'Belgium': 55, 'Belize': 50, 'Benin': 57, 'Bhutan': 44, 'Brazil': 44, 'Brunei': 55, 'Bulgaria': 50, 'Burkina Faso': 44, 'Burundi': 62, 'Cambodia': 46, 'Canada': 50, 'Cape Verde': 55, 'Central African Republic': 46, 'Christmas Island': 43, 'Democratic Republic of the Congo': 43, 'Cuba': 57, 'Denmark': 50, 'Equatorial Guinea': 44, 'Eritrea': 44, 'Georgia': 46, 'Germany': 67, 'Grenada': 50, 'Guatemala': 50, 'Guinea': 44, 'Guyana': 44, 'India': 57, 'Jordan': 55, 'North Korea': 44, 'South Korea': 44, 'Kuwait': 44, 'Liberia': 55, 'Luxembourg': 43, 'Federated States of Micronesia': 46, 'Moldova': 44, 'Myanmar (Burma)': 62, 'Netherlands': 43, 'Nicaragua': 50, 'Niger': 50, 'Nigeria': 55, 'North Macedonia': 46, 'Northern Cyprusa': 55, 'Oman': 50, 'Papua New Guinea': 44, 'Paraguay': 46, 'Peru': 75, 'Portugal': 46, 'Russia': 44, 'Rwanda': 50, 'Sahrawi Arab Democratic Republica': 43, 'Saint Vincent and the Grenadines': 43, 'Samoa': 44, 'Saudi Arabia': 43, 'Serbia': 50, 'Sierra Leone': 46, 'Somalilanda': 44, 'South Sudan': 55, 'Sudan': 75, 'Switzerland': 46, 'Trinidad and Tobago': 43, 'Tuvalu': 44, 'Uganda': 50, 'United Arab Emirates': 43, 'United States': 43, 'Uruguay': 50, 'Venezuela': 46, 'Yemen': 44}"
Bhutan,Bhutan,True,100,{None}
Bolivia,Bolivia,True,100,{None}
Bosnia and Herzegovina,Bosnia and Herzegovina,True,100,{None}
Botswana,Botswana,True,100,{None}
Brazil,Brazil,True,100,{None}
British Virgin Islands,Cook Islands,False,80,"{'Afghanistan': 45, 'Albania': 50, 'Angola': 50, 'Argentina': 56, 'Artsakha': 53, 'Bahrain': 60, 'Bangladesh': 57, 'Barbados': 50, 'Belarus': 50, 'Belize': 44, 'Benin': 50, 'Bolivia': 50, 'Bosnia and Herzegovina': 44, 'Botswana': 43, 'Brazil': 67, 'Brunei': 67, 'Bulgaria': 55, 'Burkina Faso': 50, 'Burundi': 60, 'Canada': 60, 'Chad': 50, 'Christmas Island': 64, 'Cocos (Keeling) Islands': 59, 'Cook Islands': 80, 'Croatia': 50, 'Djibouti': 46, 'El Salvador': 42, 'Eritrea': 55, 'Eswatini': 43, 'Fiji': 50, 'Finland': 67, 'Gabon': 44, 'Georgia': 43, 'Ghana': 44, 'Haiti': 60, 'Honduras': 55, 'Iceland': 71, 'India': 50, 'Indonesia': 50, 'Iran': 50, 'Iraq': 50, 'Ireland': 71, 'Israel': 50, 'Japan': 44, 'Kiribati': 62, 'North Korea': 45, 'Kyrgyzstan': 50, 'Laos': 50, 'Liberia': 43, 'Lithuania': 44, 'Madagascar': 43, 'Malaysia': 46, 'Maldives': 50, 'Marshall Islands': 67, 'Mauritania': 53, 'Mauritius': 67, 'Federated States of Micronesia': 41, 'Netherlands': 62, 'New Zealand': 53, 'Nigeria': 43, 'Norfolk Island': 64, 'Northern Cyprusa': 44, 'Oman': 50, 'Pakistan': 50, 'Philippines': 45, 'Poland': 73, 'Rwanda': 60, 'Saint Kitts and Nevis': 52, 'Saint Vincent and the Grenadines': 51, 'San Marino': 42, 'Serbia': 44, 'Solomon Islands': 75, 'Somalilanda': 50, 'South Africa': 42, 'Spain': 44, 'Sri Lanka': 44, 'Sudan': 44, 'Switzerland': 50, 'Syria': 50, 'Thailand': 62, 'Transnistriaa': 44, 'Trinidad and Tobago': 45, 'Tunisia': 43, 'Turkmenistan': 42, 'Uganda': 60, 'Ukraine': 43, 'United Kingdom and Crown dependencies etc.': 45, 'Vietnam': 43}"
Brunei,Brunei,True,100,{None}
Bulgaria,Bulgaria,True,100,{None}
Burkina Faso,Burkina Faso,True,100,{None}
Burma,Myanmar (Burma),True,100,{None}
Burundi,Burundi,True,100,{None}
Cabo Verde,Cape Verde,False,80,"{'Barbados': 50, 'Bosnia and Herzegovina': 50, 'Brunei': 44, 'Cambodia': 67, 'Cameroon': 50, 'Canada': 50, 'Cape Verde': 80, 'Chad': 67, 'China': 57, 'Cocos (Keeling) Islands': 50, 'Croatia': 44, 'Cuba': 67, 'Ecuador': 43, 'El Salvador': 43, 'France': 44, 'Gabon': 67, 'Gambia': 44, 'Greece': 44, 'Israel': 44, 'Jordan': 50, 'North Korea': 43, 'South Korea': 43, 'Laos': 50, 'Liberia': 43, 'Sovereign Military Order of Maltaa': 50, 'Federated States of Micronesia': 43, 'Niger': 44, 'Peru': 50, 'Sahrawi Arab Democratic Republica': 50, 'Samoa': 44, 'Sierra Leone': 47, 'Singapore': 44, 'Sweden': 60, 'Turkey': 44, 'United Arab Emirates': 50, 'United Kingdom and Crown dependencies etc.': 50, 'Venezuela': 43, 'Yemen': 44, 'Zambia': 44}"
Cambodia,Cambodia,True,100,{None}
Cameroon,Cameroon,True,100,{None}
Canada,Canada,True,100,{None}
Cayman Islands,Cook Islands,False,80,"{'Afghanistan': 48, 'Albania': 50, 'Angola': 50, 'Antigua and Barbuda': 44, 'Bahamas': 50, 'Bahrain': 46, 'Bangladesh': 60, 'Barbados': 50, 'Belarus': 50, 'Bosnia and Herzegovina': 42, 'Botswana': 43, 'Cambodia': 62, 'Cameroon': 57, 'Canada': 60, 'Chad': 67, 'China': 57, 'Christmas Island': 75, 'Cocos (Keeling) Islands': 73, 'Colombia': 46, 'Cook Islands': 80, 'Croatia': 50, 'Cuba': 67, 'Cyprus': 44, 'El Salvador': 42, 'Eswatini': 43, 'Finland': 67, 'Gabon': 44, 'Gambia': 55, 'Germany': 46, 'Ghana': 44, 'Guatemala': 44, 'Guyana': 50, 'Honduras': 55, 'Iceland': 71, 'India': 50, 'Indonesia': 50, 'Iran': 50, 'Iraq': 50, 'Ireland': 71, 'Israel': 50, 'Italy': 50, 'Jamaica': 50, 'Japan': 60, 'Laos': 50, 'Madagascar': 43, 'Malaysia': 46, 'Maldives': 50, 'Marshall Islands': 73, 'Namibia': 50, 'Netherlands': 62, 'New Zealand': 53, 'Norfolk Island': 67, 'Norway': 44, 'Oman': 75, 'Pakistan': 50, 'Panama': 55, 'Poland': 73, 'Romania': 46, 'Rwanda': 60, 'Saint Kitts and Nevis': 50, 'Samoa': 60, 'San Marino': 50, 'Solomon Islands': 80, 'Somalia': 43, 'Somalilanda': 55, 'Spain': 44, 'Sudan': 44, 'Switzerland': 50, 'Taiwan': 50, 'Tanzania': 50, 'Thailand': 62, 'Transnistriaa': 43, 'Tunisia': 43, 'Turkmenistan': 43, 'Uganda': 60, 'United Kingdom and Crown dependencies etc.': 43, 'Vanuatu': 43, 'Vatican City': 42, 'Zambia': 55}"
Central African Republic,Central African Republic,True,100,{None}
Chad,Chad,True,100,{None}
Chile,Chile,True,100,{None}
China,China,True,100,{None}
Christmas Island,Christmas Island,True,100,{None}
Cocos (Keeling) Islands,Cocos (Keeling) Islands,True,100,{None}
Colombia,Colombia,True,100,{None}
Comoros,Comoros,True,100,{None}
Congo Democratic Republic of the,Democratic Republic of the Congo,False,90,"{'Algeria': 43, 'Andorra': 43, 'Angola': 55, 'Bahrain': 43, 'Belgium': 43, 'Belize': 50, 'Brazil': 50, 'Cameroon': 55, 'Canada': 44, 'Central African Republic': 58, 'Chile': 57, 'China': 50, 'Colombia': 46, 'Comoros': 50, 'Democratic Republic of the Congo': 90, 'Republic of the Congo': 83, 'Cook Islands': 44, 'Croatia': 57, 'Cuba': 50, 'Czech Republic': 71, 'Denmark': 57, 'Dominica': 50, 'Dominican Republic': 67, 'France': 50, 'Gabon': 50, 'Georgia': 57, 'Germany': 43, 'Haiti': 60, 'Iran': 50, 'Iraq': 50, 'Ivory Coast': 45, 'Jamaica': 43, 'Jordan': 50, 'Kiribati': 50, 'North Korea': 47, 'South Korea': 47, 'Latvia': 50, 'Lesotho': 46, 'Liberia': 43, 'Mali': 50, 'Mauritius': 44, 'Mexico': 50, 'Monaco': 55, 'Mongolia': 62, 'Montenegro': 53, 'Morocco': 43, 'Nepal': 60, 'Netherlands': 43, 'Nigeria': 43, 'Norway': 50, 'Palestine': 44, 'Peru': 50, 'Poland': 44, 'Romania': 43, 'Sahrawi Arab Democratic Republica': 75, 'Samoa': 60, 'Saudi Arabia': 42, 'Serbia': 50, 'Sierra Leone': 42, 'Singapore': 47, 'Somalia': 43, 'South Africa': 42, 'Togo': 75, 'Tonga': 67, 'Ukraine': 43, 'Vatican City': 50}"
Congo Republic of the,Republic of the Congo,False,83,"{'Angola': 55, 'Belgium': 43, 'Belize': 50, 'Cameroon': 55, 'Canada': 44, 'Central African Republic': 65, 'Chile': 57, 'China': 50, 'Cocos (Keeling) Islands': 43, 'Colombia': 46, 'Comoros': 50, 'Democratic Republic of the Congo': 76, 'Republic of the Congo': 83, 'Cook Islands': 44, 'Costa Rica': 50, 'Croatia': 44, 'Cuba': 50, 'Czech Republic': 71, 'Dominican Republic': 69, 'Gabon': 50, 'Jordan': 44, 'North Korea': 47, 'South Korea': 47, 'Lesotho': 46, 'Mali': 50, 'Mexico': 50, 'Monaco': 55, 'Mongolia': 62, 'Montenegro': 53, 'Nepal': 60, 'Netherlands': 43, 'Peru': 50, 'Poland': 44, 'Sahrawi Arab Democratic Republica': 58, 'Saint Vincent and the Grenadines': 43, 'Serbia': 50, 'Singapore': 47, 'Togo': 75, 'Tokelau': 43, 'Tonga': 67, 'United Kingdom and Crown dependencies etc.': 43}"
Cook Islands,Cook Islands,True,100,{None}
Costa Rica,Costa Rica,True,100,{None}
Cote d'Ivoire,Croatia,False,60,"{'Andorra': 43, 'Armenia': 44, 'Belize': 44, 'Brunei': 50, 'Cambodia': 43, 'Cape Verde': 50, 'Chile': 50, 'Comoros': 44, 'Cook Islands': 44, 'Costa Rica': 53, 'Croatia': 60, 'Ecuador': 43, 'Eritrea': 60, 'France': 50, 'Greece': 50, 'Grenada': 44, 'Guinea': 44, 'Ireland': 46, 'Israel': 50, 'Ivory Coast': 47, 'North Korea': 45, 'South Korea': 45, 'Sovereign Military Order of Maltaa': 42, 'Federated States of Micronesia': 46, 'Montenegro': 43, 'Mozambique': 43, 'Niger': 50, 'Niue': 57, 'North Macedonia': 46, 'Saint Vincent and the Grenadines': 46, 'Singapore': 50, 'South Sudan': 47, 'Turkey': 50, 'Ukraine': 44}"
Croatia,Croatia,True,100,{None}
Cuba,Cuba,True,100,{None}
Curacao,Cuba,False,75,"{'Abkhaziaa': 44, 'Andorra': 44, 'Antigua and Barbuda': 43, 'Artsakha': 43, 'Australia': 50, 'Austria': 55, 'Azerbaijan': 43, 'Barbados': 46, 'Bulgaria': 43, 'Burkina Faso': 46, 'Cambodia': 50, 'Cameroon': 46, 'Canada': 50, 'Cape Verde': 44, 'Central African Republic': 46, 'Chad': 50, 'China': 44, 'Cocos (Keeling) Islands': 55, 'Colombia': 44, 'Comoros': 46, 'Democratic Republic of the Congo': 43, 'Republic of the Congo': 43, 'Cook Islands': 44, 'Costa Rica': 46, 'Croatia': 62, 'Cuba': 75, 'Cyprus': 50, 'Dominica': 44, 'Ecuador': 60, 'El Salvador': 43, 'Equatorial Guinea': 46, 'France': 55, 'Gabon': 57, 'Ghana': 44, 'Grenada': 50, 'Guatemala': 43, 'Guyana': 50, 'Honduras': 55, 'Iran': 50, 'Iraq': 50, 'Jamaica': 55, 'Japan': 44, 'Laos': 67, 'Lebanon': 44, 'Lithuania': 50, 'Madagascar': 50, 'Malta': 44, 'Sovereign Military Order of Maltaa': 44, 'Mauritania': 43, 'Mexico': 44, 'Monaco': 60, 'Montenegro': 44, 'Morocco': 50, 'Myanmar (Burma)': 50, 'Nauru': 50, 'Nicaragua': 50, 'North Macedonia': 43, 'Northern Cyprusa': 43, 'Palau': 44, 'Paraguay': 46, 'Qatar': 44, 'Sahrawi Arab Democratic Republica': 46, 'Saint Lucia': 55, 'Samoa': 57, 'Saudi Arabia': 50, 'Sierra Leone': 43, 'South Africa': 55, 'South Ossetiaa': 44, 'Sudan': 44, 'Suriname': 46, 'Syria': 44, 'Transnistriaa': 55, 'Turkey': 44, 'United Kingdom and Crown dependencies etc.': 43, 'Vatican City': 46}"
Cyprus,Cyprus,True,100,{None}
Czechia,Czech Republic,False,83,"{'Abkhaziaa': 55, 'Afghanistan': 43, 'Albania': 44, 'Algeria': 55, 'Argentina': 46, 'Armenia': 55, 'Artsakha': 44, 'Australia': 44, 'Austria': 44, 'Azerbaijan': 46, 'Belize': 44, 'Bhutan': 44, 'Bolivia': 44, 'Bosnia and Herzegovina': 43, 'Bulgaria': 44, 'Cambodia': 44, 'Cameroon': 44, 'Cape Verde': 44, 'Central African Republic': 46, 'Chad': 57, 'Chile': 50, 'China': 75, 'Christmas Island': 55, 'Colombia': 44, 'Democratic Republic of the Congo': 43, 'Costa Rica': 44, 'Croatia': 44, 'Czech Republic': 83, 'Dominica': 44, 'Equatorial Guinea': 44, 'Eritrea': 44, 'Estonia': 44, 'Ethiopia': 46, 'Finland': 44, 'Gambia': 50, 'Georgia': 50, 'Ghana': 50, 'Guinea': 50, 'India': 57, 'Indonesia': 55, 'Jamaica': 44, 'Kazakhstan': 43, 'North Korea': 44, 'South Korea': 44, 'Latvia': 50, 'Liberia': 55, 'Libya': 57, 'Liechtenstein': 50, 'Lithuania': 46, 'Malaysia': 44, 'Mauritania': 44, 'Federated States of Micronesia': 55, 'Mongolia': 44, 'Namibia': 44, 'Netherlands': 43, 'Nigeria': 55, 'North Macedonia': 46, 'Papua New Guinea': 44, 'Romania': 44, 'Russia': 50, 'Sahrawi Arab Democratic Republica': 44, 'Saint Lucia': 60, 'Saudi Arabia': 44, 'Serbia': 55, 'Seychelles': 50, 'Slovakia': 44, 'Slovenia': 55, 'Somalia': 44, 'South Africa': 44, 'South Ossetiaa': 50, 'Switzerland': 43, 'Syria': 57, 'Taiwan': 50, 'Tanzania': 50, 'Thailand': 46, 'Tunisia': 44, 'Turkmenistan': 43, 'United Kingdom and Crown dependencies etc.': 43, 'Uzbekistan': 46, 'Venezuela': 50, 'Vietnam': 44, 'Zambia': 50}"
Denmark,Denmark,True,100,{None}
Dhekelia,Tokelau,False,67,"{'Abkhaziaa': 43, 'Albania': 60, 'Algeria': 60, 'Angola': 44, 'Argentina': 43, 'Armenia': 55, 'Australia': 55, 'Austria': 44, 'Belarus': 55, 'Belgium': 55, 'Belize': 60, 'Benin': 44, 'Bolivia': 60, 'Bulgaria': 55, 'Chile': 50, 'China': 57, 'Cocos (Keeling) Islands': 50, 'Colombia': 55, 'Croatia': 44, 'Denmark': 55, 'Eritrea': 44, 'Estonia': 44, 'Ethiopia': 43, 'Finland': 44, 'Gambia': 50, 'Georgia': 55, 'Guatemala': 46, 'Guinea': 50, 'Iceland': 55, 'India': 57, 'Indonesia': 50, 'Ireland': 55, 'Jamaica': 44, 'Kenya': 44, 'Latvia': 50, 'Liberia': 55, 'Libya': 57, 'Liechtenstein': 50, 'Lithuania': 43, 'Malawi': 44, 'Malaysia': 55, 'Mali': 57, 'Malta': 50, 'Federated States of Micronesia': 50, 'Mongolia': 55, 'Namibia': 44, 'Nepal': 44, 'Netherlands': 50, 'New Zealand': 50, 'Nigeria': 55, 'North Macedonia': 43, 'Pakistan': 46, 'Palau': 50, 'Philippines': 46, 'Poland': 44, 'Romania': 44, 'Russia': 50, 'Sahrawi Arab Democratic Republica': 50, 'Saint Vincent and the Grenadines': 50, 'Senegal': 46, 'Serbia': 60, 'Seychelles': 43, 'Slovakia': 55, 'Slovenia': 55, 'Somalia': 60, 'South Ossetiaa': 46, 'Switzerland': 43, 'Syria': 57, 'Taiwan': 50, 'Tajikistan': 43, 'Thailand': 43, 'Tokelau': 67, 'Tunisia': 44, 'Turkmenistan': 50, 'Uzbekistan': 53, 'Venezuela': 57, 'Vietnam': 44, 'Zambia': 50}"
Djibouti,Djibouti,True,100,{None}
Dominica,Dominica,True,100,{None}
Dominican Republic,Dominica,True,100,{None}
Ecuador,Ecuador,True,100,{None}
Egypt,Egypt,True,100,{None}
El Salvador,El Salvador,True,100,{None}
Equatorial Guinea,Equatorial Guinea,True,100,{None}
Eritrea,Eritrea,True,100,{None}
Estonia,Estonia,True,100,{None}
Eswatini,Eswatini,True,100,{None}
Ethiopia,Ethiopia,True,100,{None}
European Union,Benin,False,67,"{'Afghanistan': 42, 'Albania': 43, 'Argentina': 46, 'Armenia': 43, 'Austria': 43, 'Azerbaijan': 42, 'Bahrain': 43, 'Benin': 67, 'Burkina Faso': 42, 'Burundi': 43, 'China': 50, 'Croatia': 43, 'East Timor': 44, 'Ecuador': 60, 'Equatorial Guinea': 43, 'Eritrea': 57, 'Estonia': 44, 'Ethiopia': 53, 'France': 50, 'Gabon': 57, 'Germany': 43, 'Grenada': 43, 'Guinea': 50, 'Iceland': 43, 'India': 44, 'Indonesia': 46, 'Iran': 50, 'Ireland': 57, 'Japan': 60, 'Jordan': 50, 'North Korea': 44, 'South Korea': 44, 'Lebanon': 57, 'Mauritania': 44, 'Mexico': 44, 'Monaco': 50, 'Nauru': 50, 'Oman': 50, 'Poland': 50, 'Romania': 44, 'Saint Lucia': 42, 'Saint Vincent and the Grenadines': 43, 'San Marino': 56, 'São Tomé and Príncipe': 43, 'Sierra Leone': 48, 'Spain': 60, 'Suriname': 43, 'Taiwan': 44, 'Tanzania': 50, 'Tokelau': 43, 'Tonga': 57, 'Turkey': 50, 'Turkmenistan': 50, 'Ukraine': 50, 'United Kingdom and Crown dependencies etc.': 43}"
Falkland Islands (Islas Malvinas),Mali,False,75,"{'Afghanistan': 45, 'Albania': 43, 'Algeria': 43, 'Andorra': 43, 'Antigua and Barbuda': 41, 'Argentina': 43, 'Artsakha': 43, 'Australia': 56, 'Bahamas': 43, 'Bahrain': 43, 'Bangladesh': 50, 'Belarus': 43, 'Bolivia': 57, 'Bosnia and Herzegovina': 44, 'Brazil': 44, 'Burkina Faso': 47, 'Canada': 50, 'Chad': 50, 'China': 60, 'Christmas Island': 52, 'Cocos (Keeling) Islands': 51, 'Cook Islands': 67, 'Croatia': 43, 'Dominica': 46, 'El Salvador': 55, 'Equatorial Guinea': 41, 'Eswatini': 50, 'Finland': 57, 'France': 50, 'Gambia': 50, 'Ghana': 44, 'Grenada': 43, 'Guinea': 55, 'Guinea-Bissau': 44, 'Guyana': 50, 'Honduras': 50, 'Iceland': 71, 'India': 44, 'Indonesia': 44, 'Iran': 50, 'Iraq': 50, 'Ireland': 71, 'Israel': 50, 'Italy': 50, 'Jamaica': 43, 'Kazakhstan': 47, 'Kenya': 44, 'Laos': 57, 'Latvia': 67, 'Lithuania': 43, 'Madagascar': 42, 'Malawi': 67, 'Malaysia': 62, 'Maldives': 62, 'Mali': 75, 'Malta': 60, 'Marshall Islands': 69, 'Mauritania': 53, 'Mauritius': 44, 'Moldova': 57, 'Mongolia': 50, 'Myanmar (Burma)': 42, 'Namibia': 43, 'Nepal': 50, 'Netherlands': 45, 'New Zealand': 53, 'Norfolk Island': 64, 'Oman': 50, 'Pakistan': 53, 'Palau': 60, 'Palestine': 47, 'Panama': 50, 'Philippines': 44, 'Poland': 67, 'Romania': 43, 'Rwanda': 50, 'Saint Kitts and Nevis': 44, 'Saint Lucia': 42, 'San Marino': 60, 'Saudi Arabia': 42, 'Singapore': 43, 'Slovakia': 53, 'Slovenia': 53, 'Solomon Islands': 67, 'Somalia': 57, 'Somalilanda': 63, 'Spain': 60, 'Sri Lanka': 44, 'Suriname': 46, 'Switzerland': 42, 'Taiwan': 50, 'Tajikistan': 47, 'Thailand': 62, 'Tokelau': 46, 'Tonga': 44, 'Trinidad and Tobago': 42, 'Tunisia': 43, 'Turkmenistan': 42, 'Tuvalu': 44, 'Uganda': 50, 'Ukraine': 43, 'Vanuatu': 43, 'Vietnam': 50, 'Zambia': 50}"
Faroe Islands,Cook Islands,False,82,"{'Albania': 50, 'Antigua and Barbuda': 42, 'Bangladesh': 57, 'Barbados': 50, 'Belarus': 50, 'Bolivia': 43, 'Bosnia and Herzegovina': 43, 'Botswana': 50, 'Cameroon': 50, 'Canada': 60, 'Chad': 50, 'Christmas Island': 73, 'Cocos (Keeling) Islands': 76, 'Comoros': 43, 'Cook Islands': 82, 'El Salvador': 42, 'Eswatini': 43, 'Finland': 67, 'France': 55, 'Gabon': 44, 'Germany': 43, 'Ghana': 44, 'Guatemala': 44, 'Honduras': 55, 'Iceland': 71, 'India': 50, 'Indonesia': 50, 'Iran': 50, 'Iraq': 50, 'Ireland': 71, 'Israel': 50, 'Japan': 44, 'Kosovoa': 43, 'Laos': 50, 'Lebanon': 43, 'Madagascar': 43, 'Malaysia': 46, 'Maldives': 50, 'Sovereign Military Order of Maltaa': 42, 'Marshall Islands': 76, 'Federated States of Micronesia': 50, 'Moldova': 43, 'Nauru': 50, 'Netherlands': 62, 'New Zealand': 60, 'Norfolk Island': 72, 'Oman': 50, 'Pakistan': 43, 'Poland': 73, 'Qatar': 50, 'Rwanda': 60, 'Saint Kitts and Nevis': 43, 'Saint Vincent and the Grenadines': 45, 'Samoa': 44, 'San Marino': 43, 'Singapore': 43, 'Solomon Islands': 78, 'Somalia': 43, 'Somalilanda': 50, 'Spain': 44, 'Sri Lanka': 44, 'Sudan': 44, 'Switzerland': 50, 'Thailand': 62, 'Tokelau': 57, 'Transnistriaa': 44, 'Turkmenistan': 43, 'Uganda': 60, 'Uzbekistan': 42}"
Fiji,Fiji,True,100,{None}
Finland,Finland,True,100,{None}
France,France,True,100,{None}
